city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,ci_lo,ci_hi,sign
Yerevan,Armenia,mixed,40.1792,44.4991,13.0,SSP5-8.5,72,0.01095,-0.01339,0.03295,zero-crossing
Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,Control-NoCC,72,0.00576,-0.01248,0.02367,zero-crossing
Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,SSP1-2.6,72,0.01739,-0.00382,0.03851,zero-crossing
Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,SSP2-4.5,72,0.00075,-0.01879,0.02002,zero-crossing
Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,SSP5-8.5,72,0.00584,-0.01205,0.02436,zero-crossing
LosAngeles,USA,mixed,34.0522,-118.2437,8.0,Control-NoCC,72,0.01368,-0.00567,0.03405,zero-crossing
LosAngeles,USA,mixed,34.0522,-118.2437,8.0,SSP1-2.6,72,0.01344,-0.00844,0.03677,zero-crossing
LosAngeles,USA,mixed,34.0522,-118.2437,8.0,SSP2-4.5,72,0.00418,-0.01854,0.0247,zero-crossing
LosAngeles,USA,mixed,34.0522,-118.2437,8.0,SSP5-8.5,72,-0.00629,-0.02763,0.01355,zero-crossing
SanDiego,USA,coastal,32.7157,-117.1611,6.0,Control-NoCC,72,0.01417,-0.00419,0.03238,zero-crossing
SanDiego,USA,coastal,32.7157,-117.1611,6.0,SSP1-2.6,72,0.01012,-0.0114,0.03153,zero-crossing
SanDiego,USA,coastal,32.7157,-117.1611,6.0,SSP2-4.5,72,0.003,-0.01672,0.02246,zero-crossing
SanDiego,USA,coastal,32.7157,-117.1611,6.0,SSP5-8.5,72,0.00433,-0.01479,0.0238,zero-crossing
Phoenix,USA,arid,33.4484,-112.074,30.0,Control-NoCC,72,0.01377,-0.00714,0.03334,zero-crossing
Phoenix,USA,arid,33.4484,-112.074,30.0,SSP1-2.6,72,0.02203,0.00207,0.04319,positive
Phoenix,USA,arid,33.4484,-112.074,30.0,SSP2-4.5,72,-0.00283,-0.02561,0.01958,zero-crossing
Phoenix,USA,arid,33.4484,-112.074,30.0,SSP5-8.5,72,0.00128,-0.01925,0.02209,zero-crossing
Houston,USA,coastal,29.7604,-95.3698,2.5,Control-NoCC,72,0.00066,-0.01634,0.01756,zero-crossing
Houston,USA,coastal,29.7604,-95.3698,2.5,SSP1-2.6,72,0.00469,-0.01126,0.02145,zero-crossing
Houston,USA,coastal,29.7604,-95.3698,2.5,SSP2-4.5,72,0.00811,-0.00942,0.02594,zero-crossing
Houston,USA,coastal,29.7604,-95.3698,2.5,SSP5-8.5,72,0.01592,-0.00505,0.03568,zero-crossing
Miami,USA,coastal,25.7617,-80.1918,1.5,Control-NoCC,72,0.00365,-0.00759,0.01577,zero-crossing
Miami,USA,coastal,25.7617,-80.1918,1.5,SSP1-2.6,72,0.01335,-0.003,0.02913,zero-crossing
Miami,USA,coastal,25.7617,-80.1918,1.5,SSP2-4.5,72,0.01303,-0.00404,0.03025,zero-crossing
Miami,USA,coastal,25.7617,-80.1918,1.5,SSP5-8.5,72,0.02171,0.00617,0.03756,positive
Boston,USA,mixed,42.3601,-71.0589,5.0,Control-NoCC,72,0.00066,-0.01997,0.02371,zero-crossing
