model,held_out,epoch,train_rmse,test_rmse
gnn,3,8,0.05807,0.05937
gnn,3,9,0.06263,0.06142
gnn,3,10,0.05928,0.05646
gnn,3,11,0.05839,0.05818
gnn,3,12,0.05715,0.05859
gnn,3,13,0.05799,0.07171
gnn,3,14,0.05664,0.07017
gnn,3,15,0.0616,0.05466
gnn,3,16,0.05476,0.05808
gnn,3,17,0.05833,0.0562
gnn,3,18,0.05708,0.05674
gnn,3,19,0.05777,0.05685
gnn,3,20,0.05488,0.06219
gnn,3,21,0.05698,0.05404
gnn,3,22,0.05509,0.06911
gnn,3,23,0.05518,0.06105
gnn,3,24,0.05589,0.06293
gnn,3,25,0.05276,0.06083
gnn,3,26,0.05343,0.06859
gnn,3,27,0.05427,0.06193
gnn,3,28,0.05865,0.0627
gnn,3,29,0.05461,0.05656
gnn,3,30,0.05357,0.06009
gnn,3,31,0.05576,0.05612
gnn,3,32,0.05425,0.05784
gnn,3,33,0.05661,0.10958
gnn,3,34,0.05649,0.05635
gnn,3,35,0.05312,0.05373
gnn,3,36,0.05265,0.0581
gnn,3,37,0.05519,0.05732
gnn,3,38,0.05478,0.06284
gnn,3,39,0.05475,0.05967
mlp,3,0,0.22569,0.10093
mlp,3,1,0.08347,0.09908
mlp,3,2,0.07708,0.08771
mlp,3,3,0.07471,0.07401
mlp,3,4,0.07486,0.07532
mlp,3,5,0.06998,0.07076
mlp,3,6,0.0697,0.06587
mlp,3,7,0.06535,0.0657
mlp,3,8,0.06601,0.06643
mlp,3,9,0.06907,0.07522
mlp,3,10,0.06974,0.06972
mlp,3,11,0.06451,0.06504
mlp,3,12,0.06255,0.06828
mlp,3,13,0.0655,0.07756
mlp,3,14,0.06322,0.08294
mlp,3,15,0.06647,0.06227
mlp,3,16,0.06378,0.06153
mlp,3,17,0.06411,0.06438
mlp,3,18,0.06499,0.0643
mlp,3,19,0.06469,0.06775
mlp,3,20,0.0642,0.06541
mlp,3,21,0.0627,0.06193
mlp,3,22,0.06334,0.07975
mlp,3,23,0.06382,0.06653
mlp,3,24,0.06412,0.06958
mlp,3,25,0.06149,0.0731
mlp,3,26,0.06225,0.06883
mlp,3,27,0.06279,0.07199
mlp,3,28,0.06718,0.0632
mlp,3,29,0.06253,0.06767
mlp,3,30,0.06131,0.06773
mlp,3,31,0.06257,0.06238
mlp,3,32,0.06215,0.06458
mlp,3,33,0.06193,0.08559
mlp,3,34,0.06287,0.06382
mlp,3,35,0.06209,0.06644
mlp,3,36,0.06193,0.06156
mlp,3,37,0.06186,0.06299
mlp,3,38,0.06329,0.06571
mlp,3,39,0.06168,0.07534
gnn,4,0,0.24734,0.09356
gnn,4,1,0.08881,0.07857
gnn,4,2,0.07245,0.07311
gnn,4,3,0.07139,0.06336
gnn,4,4,0.06443,0.06731
gnn,4,5,0.06667,0.05689
gnn,4,6,0.05898,0.0619
gnn,4,7,0.0624,0.06062
gnn,4,8,0.06235,0.0646
gnn,4,9,0.05694,0.05755
gnn,4,10,0.0577,0.05676
gnn,4,11,0.06106,0.05559
gnn,4,12,0.05668,0.05844
gnn,4,13,0.06115,0.05524
gnn,4,14,0.05512,0.05365
gnn,4,15,0.05737,0.0694
gnn,4,16,0.05661,0.05899
gnn,4,17,0.05521,0.05658
gnn,4,18,0.05694,0.05897
gnn,4,19,0.05536,0.05477
gnn,4,20,0.05333,0.05506
gnn,4,21,0.05573,0.05828
gnn,4,22,0.05846,0.05675
gnn,4,23,0.05607,0.05281
gnn,4,24,0.05467,0.07316
gnn,4,25,0.05864,0.06053
gnn,4,26,0.05415,0.06926
gnn,4,27,0.05478,0.05151
gnn,4,28,0.05592,0.06151
gnn,4,29,0.05504,0.07049
gnn,4,30,0.05519,0.05342
gnn,4,31,0.05546,0.06313
gnn,4,32,0.05842,0.06036
gnn,4,33,0.05327,0.06173
gnn,4,34,0.05313,0.05462
gnn,4,35,0.05392,0.05275
gnn,4,36,0.056,0.05446
gnn,4,37,0.0536,0.05823
gnn,4,38,0.05666,0.05225
gnn,4,39,0.05264,0.0534
mlp,4,0,0.22257,0.0807
mlp,4,1,0.08666,0.07717
mlp,4,2,0.08136,0.09004
mlp,4,3,0.08093,0.07103
mlp,4,4,0.07656,0.08202
mlp,4,5,0.07392,0.06957
mlp,4,6,0.07093,0.07361
mlp,4,7,0.07515,0.06954
mlp,4,8,0.07337,0.0706
mlp,4,9,0.06866,0.06638
mlp,4,10,0.06825,0.06264
mlp,4,11,0.06919,0.06425
mlp,4,12,0.06735,0.06121
mlp,4,13,0.07026,0.06188
mlp,4,14,0.06611,0.06496
mlp,4,15,0.06726,0.06545
mlp,4,16,0.06591,0.06565
mlp,4,17,0.06488,0.06529
mlp,4,18,0.06675,0.06702
mlp,4,19,0.06569,0.06175
mlp,4,20,0.0642,0.06334
mlp,4,21,0.07325,0.07146
mlp,4,22,0.0677,0.06568
