city,ssp,epoch,n_seeds,mean_gap,ci_lo,ci_hi,sign
Manila,Control-NoCC,2070,6,0.00583,-0.00518,0.0237,zero-crossing
Manila,Control-NoCC,2080,6,-0.02618,-0.04809,-0.00733,negative
Manila,Control-NoCC,2090,6,-0.00749,-0.02231,0.01211,zero-crossing
Manila,Control-NoCC,2100,6,-0.00989,-0.02176,0.00728,zero-crossing
Manila,SSP1-2.6,2030,6,0.00379,-0.01483,0.01941,zero-crossing
Manila,SSP1-2.6,2040,6,-0.00045,-0.01346,0.01689,zero-crossing
Manila,SSP1-2.6,2050,6,0.0037,-0.01629,0.02496,zero-crossing
Manila,SSP1-2.6,2060,6,-0.00108,-0.01548,0.015,zero-crossing
Manila,SSP1-2.6,2070,6,-0.00605,-0.02608,0.02045,zero-crossing
Manila,SSP1-2.6,2080,6,-0.00198,-0.01601,0.01242,zero-crossing
Manila,SSP1-2.6,2090,6,0.00132,-0.01193,0.01777,zero-crossing
Manila,SSP1-2.6,2100,6,0.00458,-0.00691,0.02253,zero-crossing
Manila,SSP2-4.5,2030,6,0.01816,0.00855,0.02783,positive
Manila,SSP2-4.5,2040,6,0.03026,0.02622,0.03657,positive
Manila,SSP2-4.5,2050,6,0.01656,0.00325,0.02726,positive
Manila,SSP2-4.5,2060,6,0.01765,0.00353,0.03501,positive
Manila,SSP2-4.5,2070,6,0.00618,-0.00937,0.01927,zero-crossing
Manila,SSP2-4.5,2080,6,0.00807,-0.0089,0.0245,zero-crossing
Manila,SSP2-4.5,2090,6,0.01864,0.00502,0.02829,positive
Manila,SSP2-4.5,2100,6,0.01608,0.00076,0.03386,positive
Manila,SSP5-8.5,2030,6,-0.00086,-0.01076,0.01405,zero-crossing
Manila,SSP5-8.5,2040,6,-0.01826,-0.05159,-0.00603,negative
Manila,SSP5-8.5,2050,6,-0.00556,-0.02993,0.02124,zero-crossing
Manila,SSP5-8.5,2060,6,-0.00216,-0.02149,0.01727,zero-crossing
Manila,SSP5-8.5,2070,6,-0.00012,-0.01776,0.01375,zero-crossing
