city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,std_gap,ci_lo,ci_hi,sign
Santiago,Chile,mixed,-33.4489,-70.6693,10.0,SSP2-4.5,72,0.00538,0.10558,-0.01931,0.02888,zero-crossing
Santiago,Chile,mixed,-33.4489,-70.6693,10.0,SSP5-8.5,72,0.00284,0.09289,-0.01786,0.02417,zero-crossing
Bogota,Colombia,high_alt,4.711,-74.0721,6.0,Control-NoCC,72,-0.00254,0.10984,-0.02684,0.02271,zero-crossing
Bogota,Colombia,high_alt,4.711,-74.0721,6.0,SSP1-2.6,72,0.00383,0.10576,-0.02047,0.02735,zero-crossing
Bogota,Colombia,high_alt,4.711,-74.0721,6.0,SSP2-4.5,72,0.00256,0.11398,-0.02355,0.02802,zero-crossing
Bogota,Colombia,high_alt,4.711,-74.0721,6.0,SSP5-8.5,72,0.00496,0.10645,-0.01999,0.02957,zero-crossing
Auckland,NewZealand,coastal,-36.8485,174.7633,5.0,Control-NoCC,72,-0.00639,0.09212,-0.02591,0.01568,zero-crossing
Auckland,NewZealand,coastal,-36.8485,174.7633,5.0,SSP1-2.6,72,-0.00151,0.09552,-0.02298,0.01971,zero-crossing
Auckland,NewZealand,coastal,-36.8485,174.7633,5.0,SSP2-4.5,72,0.00769,0.09519,-0.0135,0.02941,zero-crossing
Auckland,NewZealand,coastal,-36.8485,174.7633,5.0,SSP5-8.5,72,0.00805,0.08072,-0.0105,0.02627,zero-crossing
Sydney,Australia,coastal,-33.8688,151.2093,6.0,Control-NoCC,72,-0.01568,0.09027,-0.03672,0.00509,zero-crossing
Sydney,Australia,coastal,-33.8688,151.2093,6.0,SSP1-2.6,72,0.00658,0.10458,-0.01673,0.03001,zero-crossing
Sydney,Australia,coastal,-33.8688,151.2093,6.0,SSP2-4.5,72,0.00209,0.11052,-0.02289,0.02566,zero-crossing
Sydney,Australia,coastal,-33.8688,151.2093,6.0,SSP5-8.5,72,0.01427,0.08936,-0.00689,0.0347,zero-crossing
Melbourne,Australia,coastal,-37.8136,144.9631,7.0,Control-NoCC,72,-0.01076,0.09355,-0.0322,0.01167,zero-crossing
